Day of Year,Ratio (MB/CR),,,Notes
1,0.9739,,,1. MB = Missisquoi Bay
2,0.9740,,,2. CR = Colchester Reef (solar radiation data)
3,0.9742,,,3. Adjust factor is different for each day of a year
4,0.9743,,,4. The same set of factors was applied to each year
5,0.9745,,,
6,0.9746,,,
7,0.9748,,,
8,0.9750,,,
9,0.9752,,,
10,0.9754,,,
11,0.9756,,,
12,0.9758,,,
13,0.9760,,,
14,0.9763,,,
15,0.9765,,,
16,0.9767,,,
17,0.9769,,,
18,0.9772,,,
19,0.9775,,,
20,0.9777,,,
21,0.9780,,,
22,0.9782,,,
23,0.9785,,,
24,0.9788,,,
25,0.9790,,,
26,0.9793,,,
27,0.9796,,,
28,0.9799,,,
29,0.9801,,,
30,0.9804,,,
31,0.9807,,,
32,0.9810,,,
33,0.9812,,,
34,0.9815,,,
35,0.9818,,,
36,0.9821,,,
37,0.9823,,,
38,0.9826,,,
39,0.9829,,,
40,0.9832,,,
41,0.9834,,,
42,0.9837,,,
43,0.9839,,,
44,0.9842,,,
45,0.9844,,,
46,0.9847,,,
47,0.9850,,,
48,0.9852,,,
49,0.9855,,,
50,0.9857,,,
51,0.9860,,,
52,0.9862,,,
53,0.9864,,,
54,0.9867,,,
55,0.9869,,,
56,0.9871,,,
57,0.9874,,,
58,0.9876,,,
59,0.9879,,,
60,0.9881,,,
61,0.9883,,,
62,0.9885,,,
63,0.9887,,,
64,0.9890,,,
65,0.9892,,,
66,0.9894,,,
67,0.9896,,,
68,0.9898,,,
69,0.9900,,,
70,0.9902,,,
71,0.9904,,,
72,0.9906,,,
73,0.9907,,,
74,0.9909,,,
75,0.9911,,,
76,0.9913,,,
77,0.9915,,,
78,0.9917,,,
79,0.9919,,,
80,0.9920,,,
81,0.9922,,,
82,0.9924,,,
83,0.9925,,,
84,0.9927,,,
85,0.9928,,,
86,0.9930,,,
87,0.9932,,,
88,0.9934,,,
89,0.9935,,,
90,0.9936,,,
91,0.9938,,,
92,0.9940,,,
93,0.9941,,,
94,0.9942,,,
95,0.9944,,,
96,0.9945,,,
97,0.9947,,,
98,0.9948,,,
99,0.9949,,,
100,0.9950,,,
101,0.9952,,,
102,0.9953,,,
103,0.9954,,,
104,0.9956,,,
105,0.9957,,,
106,0.9958,,,
107,0.9959,,,
108,0.9960,,,
109,0.9962,,,
110,0.9963,,,
111,0.9964,,,
112,0.9965,,,
113,0.9966,,,
114,0.9967,,,
115,0.9968,,,
116,0.9969,,,
117,0.9970,,,
118,0.9971,,,
119,0.9972,,,
120,0.9973,,,
121,0.9974,,,
122,0.9975,,,
123,0.9976,,,
124,0.9977,,,
125,0.9978,,,
126,0.9979,,,
127,0.9980,,,
128,0.9980,,,
129,0.9981,,,
130,0.9982,,,
131,0.9983,,,
132,0.9984,,,
133,0.9984,,,
134,0.9985,,,
135,0.9986,,,
136,0.9986,,,
137,0.9987,,,
138,0.9988,,,
139,0.9989,,,
140,0.9989,,,
141,0.9989,,,
142,0.9990,,,
143,0.9991,,,
144,0.9991,,,
145,0.9992,,,
146,0.9992,,,
147,0.9993,,,
148,0.9993,,,
149,0.9994,,,
150,0.9994,,,
151,0.9995,,,
152,0.9995,,,
153,0.9995,,,
154,0.9996,,,
155,0.9996,,,
156,0.9996,,,
157,0.9997,,,
158,0.9997,,,
159,0.9997,,,
160,0.9998,,,
161,0.9998,,,
162,0.9998,,,
163,0.9998,,,
164,0.9998,,,
165,0.9998,,,
166,0.9999,,,
167,0.9999,,,
168,0.9999,,,
169,0.9999,,,
170,0.9999,,,
171,0.9999,,,
172,0.9999,,,
173,0.9999,,,
174,0.9999,,,
175,0.9999,,,
176,0.9999,,,
177,0.9999,,,
178,0.9999,,,
179,0.9998,,,
180,0.9998,,,
181,0.9998,,,
182,0.9998,,,
183,0.9998,,,
184,0.9998,,,
185,0.9997,,,
186,0.9997,,,
187,0.9997,,,
188,0.9996,,,
189,0.9996,,,
190,0.9996,,,
191,0.9995,,,
192,0.9995,,,
193,0.9995,,,
194,0.9994,,,
195,0.9994,,,
196,0.9993,,,
197,0.9993,,,
198,0.9993,,,
199,0.9992,,,
200,0.9991,,,
201,0.9991,,,
202,0.9990,,,
203,0.9990,,,
204,0.9989,,,
205,0.9988,,,
206,0.9988,,,
207,0.9987,,,
208,0.9987,,,
209,0.9986,,,
210,0.9985,,,
211,0.9984,,,
212,0.9984,,,
213,0.9983,,,
214,0.9982,,,
215,0.9981,,,
216,0.9981,,,
217,0.9980,,,
218,0.9979,,,
219,0.9978,,,
220,0.9977,,,
221,0.9976,,,
222,0.9975,,,
223,0.9975,,,
224,0.9973,,,
225,0.9973,,,
226,0.9972,,,
227,0.9971,,,
228,0.9970,,,
229,0.9969,,,
